row_type,sort_order,name,telegram_label,telegram_url,x_label,x_url,website_label,website_url,nostr_label,nostr_url,latitude,longitude
group,0010,Coordinamento - canale per informazioni e nuovi gruppi,SatoshiSpritzCoordinamento,https://t.me/SatoshiSpritz,,,satoshispritz.it,https://satoshispritz.it,,,,
group,0020,Connect - canale per i Satoshi Spritz virtuali,SatoshiSpritzConnect,https://t.me/satoshispritzconnect,@satoshispritz,https://twitter.com/satoshispritz,,,,,,
group,0030,Italia - canale per eventi nazionali,Satoshi Spritz Italia,https://t.me/SatoshiSpritzIta,,,,,,,,
header,0100,Lombardia,,,,,,,,,,
group,0110,Bergamo,SatoshiSpritzBergamo,https://t.me/satoshispritzbergamo,,,,,,,45.69441368,9.66842453
group,0120,Crema,SatoshiSpritzCremaCremonaLodi,https://t.me/satoshispritzlodi,,,,,,,45.3626400,9.6817600
group,0130,Cremona,SatoshiSpritzCremaCremonaLodi,https://t.me/satoshispritzlodi,,,,,,,45.14047,10.02297
group,0140,Lodi,SatoshiSpritzCremaCremonaLodi,https://t.me/satoshispritzlodi,,,,,,,45.30989,9.50085
group,0150,Mantova,SatoshiSpritzMantova,https://t.me/satoshispritzmantova,,,,,,,45.15726772,10.79277363
group,0160,Milano,SatoshiSpritzMilano,https://t.me/SatoshiSpritzMilano,,,satoshispritz.com,https://satoshispritz.com,,,45.46679408,9.1903474
group,0170,Monza,SatoshiSpritzMonza,https://t.me/SatoshiSpritzMonza,,,,,,,45.5834,9.2759
header,0200,Piemonte,,,,,,,,,,
group,0210,Bardonecchia,SatoshiSpritzBardonecchia,https://t.me/satoshispritzbardonecchia,,,,,,,45.07462,6.69888
group,0220,Cuneo,SatoshiSpritzCuneo,https://t.me/SatoshiSpritzCuneo,,,,,,,44.384477,7.542671
group,0230,Torino,SatoshiSpritzTorino,https://t.me/SatoshiSpritzTorino,,,,,,,45.0781,7.6761
header,0300,Lazio,,,,,,,,,,
group,0310,Roma,SatoshiSpritzRoma,https://t.me/SatoshiSpritzRoma,,,,,,,41.89277044,12.48366723
header,0400,Veneto,,,,,,,,,,
group,0410,Veneto,SatoshiSpritzVeneto,https://t.me/SatoshiSpritzVeneto,,,,,,,,
